83,7,rock in a hard place,(1982)
83,8,done with mirrors,(1985)
83,9,permanent vacation,(1987)
83,10,pump,(1989)
83,11,get a grip,(1993)
83,12,nine lives,(1997)
83,13,just push play,(2001)
83,14,honkin' on bobo,(2004)
83,15,music from another dimension!,(2012)
83,16,other songs
84,1,music for earthworms,(1997)
84,2,appleseed,(1999)
84,3,float,(2000)
84,4,labor days,(2001)
84,5,daylight,(2002)
84,6,bazooka tooth,(2003)
84,7,"fast cars, danger, fire and knives",(2005)
84,8,none shall pass,(2007)
84,9,skelethon,(2012)
84,10,cat food,(2015)
84,11,the impossible kid,(2016)
84,12,other songs
85,1,confession no.1,(2008)
85,2,the one,(2010)
85,3,sides,(2016)
85,4,dekade,(2018)
85,5,other songs
86,1,big top halloween,(1988)
86,2,up in it,(1990)
86,3,congregation,(1992)
86,4,gentlemen,(1993)
86,5,black love,(1996)
86,6,1965,(1998)
86,7,do to the beast,(2014)
86,8,in spades,(2017)
86,9,other songs
87,1,answer that and stay fashionable,(1995)
87,2,very proud of ya,(1996)
87,3,shut your mouth and open your eyes,(1997)
87,4,a fire inside,(1998)
87,5,all hallow's,(1999)
87,6,black sails in the sunset,(1999)
87,7,art of drowning,(2000)
87,8,336,(2002)
87,9,sing the sorrow,(2003)
87,10,decemberunderground,(2006)
87,11,crash love,(2009)
87,12,burials,(2013)
87,13,afi (the blood album),(2017)
87,14,other songs
88,1,forget the world,(2014)
88,2,other songs
89,1,because i got high,(2000)
89,2,sell your dope,(2000)
89,3,the good times,(2001)
89,4,afroholic: the even better times,(2004)
89,5,jobe bells,(2004)
89,6,4r0:20,(2004)
89,7,other songs
90,1,after 7,(1989)
90,2,takin' my time,(1992)
90,3,reflections,(1995)
90,4,timeless,(2016)
90,5,other songs
91,1,prison of desire,(2000)
91,2,decipher,(2001)
91,3,exordium,(2003)
91,4,invisible circles,(2004)
91,5,remagine,(2005)
92,1,i wish we all could win,(2005)
92,2,never going back to ok,(2008)
92,3,light up the sky,(2010)
92,4,life is beautiful,(2013)
93,1,forging a future self,(2006)
93,2,rareform,(2008)
93,3,in dreams,(2010)
93,4,wolves within,(2013)
94,3,against me!,(2000)
94,4,crime as forgiven by,(2001)
94,5,against me! is reinventing axl rose,(2002)
94,7,against me! as the eternal cowboy,(2003)
94,8,searching for a former clarity,(2005)
94,9,new wave,(2007)
94,10,white crosses,(2010)
94,11,transgender dysphoria blues,(2014)
94,12,shape shift with me,(2016)
94,13,other songs
95,1,infinity,(2014)
95,2,gravity,(2015)
95,3,in our bones,(2016)
95,4,other songs
96,1,living in darkness,(1981)
96,2,when you least expect it...,(1984)
96,3,this is the voice,(1986)
96,4,virtually indestructible,(1996)
96,5,other songs
